# Primera medicion de la fase general, n = 3, 4, 5.
# clave	valor	nota
semilla	20260809	la ya congelada en el repositorio
repeticiones.donde.se.muestrea	2000	por combinacion de n y k
umbral.de.enumeracion.entera	5000	si el espacio de pares de permutaciones no pasa de aqui se recorre entero; si lo pasa, se muestrea
n3.vertices	8	
n3.denominador	28	C(2^n, 2)
n3.empate	14	
n3.orden.de.B_n	48	n! por 2^n
n3.O1.el.orden.binario.da.cero.pares.discordantes	1	control de que el aparato no inventa nada
n3.total.Gray.yang1.bottomMSB	6	
n3.total.Gray.yang1.bottomLSB	12	
n3.total.Gray.yang0.bottomMSB	22	
n3.total.Gray.yang0.bottomLSB	16	
n3.k1.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n3.k1.Gray.grupo.orden	16	
n3.k1.Gray.grupo.orden.predicho	16	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n3.k1.Gray.grupo.coincide.con.lo.predicho	1	
n3.k1.Gray.orbitas	5	
n3.k1.Gray.forzadas	1	
n3.k1.Gray.libres	4	
n3.k1.Gray.impares	0	
n3.k1.Gray.minimo	6	
n3.k1.Gray.maximo	22	
n3.k1.Gray.anchura	16	
n3.k1.Gray.observado	6	
n3.k1.Gray.alcanzables	5	
n3.k1.Gray.empate_alcanzable	1	
n3.k1.Gray.casilla	INTERVALO	
n3.k1.MWDlike.canonica.grupo.orden	16	
n3.k1.MWDlike.canonica.grupo.orden.predicho	16	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n3.k1.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n3.k1.MWDlike.canonica.orbitas	5	
n3.k1.MWDlike.canonica.forzadas	3	
n3.k1.MWDlike.canonica.libres	2	
n3.k1.MWDlike.canonica.impares	0	
n3.k1.MWDlike.canonica.minimo	8	
n3.k1.MWDlike.canonica.maximo	20	
n3.k1.MWDlike.canonica.anchura	12	
n3.k1.MWDlike.canonica.observado	8	
n3.k1.MWDlike.canonica.alcanzables	4	
n3.k1.MWDlike.canonica.empate_alcanzable	0	
n3.k1.MWDlike.canonica.casilla	PROHIBIDO	
n3.k1.O3.espacio.de.pares.de.permutaciones	48	
n3.k1.O3.enumerado.entero	1	si es cero, se muestreo con la semilla declarada
n3.k1.O3.casos	48	
n3.k1.O3.FORZADO	0	
n3.k1.O3.INTERVALO	24	
n3.k1.O3.PROHIBIDO	24	
n3.k1.O3.ordenes.de.grupo.distintos	16	el grupo solo depende de la particion, no del orden
n3.k2.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n3.k2.Gray.grupo.orden	16	
n3.k2.Gray.grupo.orden.predicho	16	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n3.k2.Gray.grupo.coincide.con.lo.predicho	1	
n3.k2.Gray.orbitas	5	
n3.k2.Gray.forzadas	2	
n3.k2.Gray.libres	3	
n3.k2.Gray.impares	0	
n3.k2.Gray.minimo	6	
n3.k2.Gray.maximo	22	
n3.k2.Gray.anchura	16	
n3.k2.Gray.observado	6	
n3.k2.Gray.alcanzables	5	
n3.k2.Gray.empate_alcanzable	1	
n3.k2.Gray.casilla	INTERVALO	
n3.k2.MWDlike.canonica.grupo.orden	16	
n3.k2.MWDlike.canonica.grupo.orden.predicho	16	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n3.k2.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n3.k2.MWDlike.canonica.orbitas	5	
n3.k2.MWDlike.canonica.forzadas	3	
n3.k2.MWDlike.canonica.libres	2	
n3.k2.MWDlike.canonica.impares	0	
n3.k2.MWDlike.canonica.minimo	8	
n3.k2.MWDlike.canonica.maximo	20	
n3.k2.MWDlike.canonica.anchura	12	
n3.k2.MWDlike.canonica.observado	8	
n3.k2.MWDlike.canonica.alcanzables	4	
n3.k2.MWDlike.canonica.empate_alcanzable	0	
n3.k2.MWDlike.canonica.casilla	PROHIBIDO	
n3.k2.O3.espacio.de.pares.de.permutaciones	48	
n3.k2.O3.enumerado.entero	1	si es cero, se muestreo con la semilla declarada
n3.k2.O3.casos	48	
n3.k2.O3.FORZADO	0	
n3.k2.O3.INTERVALO	24	
n3.k2.O3.PROHIBIDO	24	
n3.k2.O3.ordenes.de.grupo.distintos	16	el grupo solo depende de la particion, no del orden
n4.vertices	16	
n4.denominador	120	C(2^n, 2)
n4.empate	60	
n4.orden.de.B_n	384	n! por 2^n
n4.O1.el.orden.binario.da.cero.pares.discordantes	1	control de que el aparato no inventa nada
n4.total.Gray.yang1.bottomMSB	28	
n4.total.Gray.yang1.bottomLSB	56	
n4.total.Gray.yang0.bottomMSB	92	
n4.total.Gray.yang0.bottomLSB	64	
n4.k1.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n4.k1.Gray.grupo.orden	96	
n4.k1.Gray.grupo.orden.predicho	96	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n4.k1.Gray.grupo.coincide.con.lo.predicho	1	
n4.k1.Gray.orbitas	7	
n4.k1.Gray.forzadas	1	
n4.k1.Gray.libres	6	
n4.k1.Gray.impares	0	
n4.k1.Gray.minimo	28	
n4.k1.Gray.maximo	92	
n4.k1.Gray.anchura	64	
n4.k1.Gray.observado	28	
n4.k1.Gray.alcanzables	9	
n4.k1.Gray.empate_alcanzable	1	
n4.k1.Gray.casilla	INTERVALO	
n4.k1.MWDlike.canonica.grupo.orden	96	
n4.k1.MWDlike.canonica.grupo.orden.predicho	96	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n4.k1.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n4.k1.MWDlike.canonica.orbitas	7	
n4.k1.MWDlike.canonica.forzadas	5	
n4.k1.MWDlike.canonica.libres	2	
n4.k1.MWDlike.canonica.impares	0	
n4.k1.MWDlike.canonica.minimo	44	
n4.k1.MWDlike.canonica.maximo	76	
n4.k1.MWDlike.canonica.anchura	32	
n4.k1.MWDlike.canonica.observado	44	
n4.k1.MWDlike.canonica.alcanzables	4	
n4.k1.MWDlike.canonica.empate_alcanzable	0	
n4.k1.MWDlike.canonica.casilla	PROHIBIDO	
n4.k1.O3.espacio.de.pares.de.permutaciones	80640	
n4.k1.O3.enumerado.entero	0	si es cero, se muestreo con la semilla declarada
n4.k1.O3.casos	2000	
n4.k1.O3.FORZADO	0	
n4.k1.O3.INTERVALO	827	
n4.k1.O3.PROHIBIDO	1173	
n4.k1.O3.ordenes.de.grupo.distintos	96	el grupo solo depende de la particion, no del orden
n4.k2.es.el.analogo.de.mawangdui	1	solo definido cuando n es par y k es la mitad
n4.k2.Gray.grupo.orden	64	
n4.k2.Gray.grupo.orden.predicho	64	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n4.k2.Gray.grupo.coincide.con.lo.predicho	1	
n4.k2.Gray.orbitas	8	
n4.k2.Gray.forzadas	2	
n4.k2.Gray.libres	6	
n4.k2.Gray.impares	0	
n4.k2.Gray.minimo	28	
n4.k2.Gray.maximo	92	
n4.k2.Gray.anchura	64	
n4.k2.Gray.observado	28	
n4.k2.Gray.alcanzables	9	
n4.k2.Gray.empate_alcanzable	1	
n4.k2.Gray.casilla	INTERVALO	
n4.k2.MWDlike.canonica.grupo.orden	64	
n4.k2.MWDlike.canonica.grupo.orden.predicho	64	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n4.k2.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n4.k2.MWDlike.canonica.orbitas	8	
n4.k2.MWDlike.canonica.forzadas	6	
n4.k2.MWDlike.canonica.libres	2	
n4.k2.MWDlike.canonica.impares	0	
n4.k2.MWDlike.canonica.minimo	44	
n4.k2.MWDlike.canonica.maximo	76	
n4.k2.MWDlike.canonica.anchura	32	
n4.k2.MWDlike.canonica.observado	44	
n4.k2.MWDlike.canonica.alcanzables	3	
n4.k2.MWDlike.canonica.empate_alcanzable	1	
n4.k2.MWDlike.canonica.casilla	INTERVALO	
n4.k2.O3.espacio.de.pares.de.permutaciones	576	
n4.k2.O3.enumerado.entero	1	si es cero, se muestreo con la semilla declarada
n4.k2.O3.casos	576	
n4.k2.O3.FORZADO	36	
n4.k2.O3.INTERVALO	228	
n4.k2.O3.PROHIBIDO	312	
n4.k2.O3.ordenes.de.grupo.distintos	64	el grupo solo depende de la particion, no del orden
n4.k3.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n4.k3.Gray.grupo.orden	96	
n4.k3.Gray.grupo.orden.predicho	96	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n4.k3.Gray.grupo.coincide.con.lo.predicho	1	
n4.k3.Gray.orbitas	7	
n4.k3.Gray.forzadas	3	
n4.k3.Gray.libres	4	
n4.k3.Gray.impares	0	
n4.k3.Gray.minimo	28	
n4.k3.Gray.maximo	92	
n4.k3.Gray.anchura	64	
n4.k3.Gray.observado	28	
n4.k3.Gray.alcanzables	9	
n4.k3.Gray.empate_alcanzable	1	
n4.k3.Gray.casilla	INTERVALO	
n4.k3.MWDlike.canonica.grupo.orden	96	
n4.k3.MWDlike.canonica.grupo.orden.predicho	96	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n4.k3.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n4.k3.MWDlike.canonica.orbitas	7	
n4.k3.MWDlike.canonica.forzadas	5	
n4.k3.MWDlike.canonica.libres	2	
n4.k3.MWDlike.canonica.impares	0	
n4.k3.MWDlike.canonica.minimo	44	
n4.k3.MWDlike.canonica.maximo	76	
n4.k3.MWDlike.canonica.anchura	32	
n4.k3.MWDlike.canonica.observado	44	
n4.k3.MWDlike.canonica.alcanzables	4	
n4.k3.MWDlike.canonica.empate_alcanzable	0	
n4.k3.MWDlike.canonica.casilla	PROHIBIDO	
n4.k3.O3.espacio.de.pares.de.permutaciones	80640	
n4.k3.O3.enumerado.entero	0	si es cero, se muestreo con la semilla declarada
n4.k3.O3.casos	2000	
n4.k3.O3.FORZADO	0	
n4.k3.O3.INTERVALO	828	
n4.k3.O3.PROHIBIDO	1172	
n4.k3.O3.ordenes.de.grupo.distintos	96	el grupo solo depende de la particion, no del orden
n5.vertices	32	
n5.denominador	496	C(2^n, 2)
n5.empate	248	
n5.orden.de.B_n	3840	n! por 2^n
n5.O1.el.orden.binario.da.cero.pares.discordantes	1	control de que el aparato no inventa nada
n5.total.Gray.yang1.bottomMSB	120	
n5.total.Gray.yang1.bottomLSB	240	
n5.total.Gray.yang0.bottomMSB	376	
n5.total.Gray.yang0.bottomLSB	256	
n5.k1.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n5.k1.Gray.grupo.orden	768	
n5.k1.Gray.grupo.orden.predicho	768	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k1.Gray.grupo.coincide.con.lo.predicho	1	
n5.k1.Gray.orbitas	9	
n5.k1.Gray.forzadas	1	
n5.k1.Gray.libres	8	
n5.k1.Gray.impares	0	
n5.k1.Gray.minimo	120	
n5.k1.Gray.maximo	376	
n5.k1.Gray.anchura	256	
n5.k1.Gray.observado	120	
n5.k1.Gray.alcanzables	17	
n5.k1.Gray.empate_alcanzable	1	
n5.k1.Gray.casilla	INTERVALO	
n5.k1.MWDlike.canonica.grupo.orden	768	
n5.k1.MWDlike.canonica.grupo.orden.predicho	768	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k1.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n5.k1.MWDlike.canonica.orbitas	9	
n5.k1.MWDlike.canonica.forzadas	7	
n5.k1.MWDlike.canonica.libres	2	
n5.k1.MWDlike.canonica.impares	0	
n5.k1.MWDlike.canonica.minimo	208	
n5.k1.MWDlike.canonica.maximo	288	
n5.k1.MWDlike.canonica.anchura	80	
n5.k1.MWDlike.canonica.observado	208	
n5.k1.MWDlike.canonica.alcanzables	4	
n5.k1.MWDlike.canonica.empate_alcanzable	0	
n5.k1.MWDlike.canonica.casilla	PROHIBIDO	
n5.k1.O3.espacio.de.pares.de.permutaciones	41845579776000	
n5.k1.O3.enumerado.entero	0	si es cero, se muestreo con la semilla declarada
n5.k1.O3.casos	2000	
n5.k1.O3.FORZADO	0	
n5.k1.O3.INTERVALO	781	
n5.k1.O3.PROHIBIDO	1219	
n5.k1.O3.ordenes.de.grupo.distintos	768	el grupo solo depende de la particion, no del orden
n5.k2.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n5.k2.Gray.grupo.orden	384	
n5.k2.Gray.grupo.orden.predicho	384	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k2.Gray.grupo.coincide.con.lo.predicho	1	
n5.k2.Gray.orbitas	11	
n5.k2.Gray.forzadas	2	
n5.k2.Gray.libres	9	
n5.k2.Gray.impares	0	
n5.k2.Gray.minimo	120	
n5.k2.Gray.maximo	376	
n5.k2.Gray.anchura	256	
n5.k2.Gray.observado	120	
n5.k2.Gray.alcanzables	17	
n5.k2.Gray.empate_alcanzable	1	
n5.k2.Gray.casilla	INTERVALO	
n5.k2.MWDlike.canonica.grupo.orden	384	
n5.k2.MWDlike.canonica.grupo.orden.predicho	384	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
n5.k2.MWDlike.canonica.grupo.coincide.con.lo.predicho	1	
n5.k2.MWDlike.canonica.orbitas	11	
n5.k2.MWDlike.canonica.forzadas	9	
n5.k2.MWDlike.canonica.libres	2	
n5.k2.MWDlike.canonica.impares	0	
n5.k2.MWDlike.canonica.minimo	208	
n5.k2.MWDlike.canonica.maximo	288	
n5.k2.MWDlike.canonica.anchura	80	
n5.k2.MWDlike.canonica.observado	208	
n5.k2.MWDlike.canonica.alcanzables	4	
n5.k2.MWDlike.canonica.empate_alcanzable	0	
n5.k2.MWDlike.canonica.casilla	PROHIBIDO	
n5.k2.O3.espacio.de.pares.de.permutaciones	967680	
n5.k2.O3.enumerado.entero	0	si es cero, se muestreo con la semilla declarada
n5.k2.O3.casos	2000	
n5.k2.O3.FORZADO	10	
n5.k2.O3.INTERVALO	794	
n5.k2.O3.PROHIBIDO	1196	
n5.k2.O3.ordenes.de.grupo.distintos	384	el grupo solo depende de la particion, no del orden
n5.k3.es.el.analogo.de.mawangdui	0	solo definido cuando n es par y k es la mitad
n5.k3.Gray.grupo.orden	384	
n5.k3.Gray.grupo.orden.predicho	384	k! por (n-k)! por 2^n, la prediccion de b.4 de la preinscripcion
