# Puente entre paper/PAPER.pdf y el manuscrito.
# clave	valor	nota
existe.PAPER.md	1	
existe.PAPER.tex	1	
existe.PAPER.pdf	1	
el.pdf.lleva.colofon.legible	1	sin colofon dentro del fichero no hay puente que cotejar
colofon.commit	12eef7bcef81a2ffcbacd52e032b21e6698918a5	
colofon.fecha	2026-08-10	
colofon.sha256	0d2cf441c3f953c7baa15cc9708129479ac982f1c0848343bc3ca686eb5dfdc3	
colofon.comprobaciones	61	
sha256.del.manuscrito.de.ahora	0d2cf441c3f953c7baa15cc9708129479ac982f1c0848343bc3ca686eb5dfdc3	
el.pdf.corresponde.al.manuscrito.de.ahora	1	el texto ha cambiado desde que se construyo el PDF: se debe una version nueva, hay que volver a correr src/build_paper.py
el.commit.del.colofon.existe.en.esta.historia	1	
head.actual	12eef7bcef81a2ffcbacd52e032b21e6698918a5	
commits.desde.el.del.colofon	0	cero quiere decir que el PDF es del estado actual
el.pdf.retrata.el.head.actual	1	informativo: el PDF se construye antes del commit que lo guarda, asi que aqui un cero es lo esperado, no un fallo
comprobaciones.en.verde.ahora	61	
el.recuento.de.comprobaciones.no.ha.cambiado	1	los comprobadores dan hoy un numero distinto del que el PDF declara
el.tex.declara.el.mismo.sha256.que.el.pdf	1	el .tex y el PDF tienen que haber salido del mismo manuscrito
desajustes	0	
el.puente.esta.entero	1	
